"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

"SÁBADO, 4 DE OUTUBRO"
Hard Skills in Data Science,1:30,4:00,2:30,""
Hard Skills in Data Science,16:27,17:30,1:02,""
Hard Skills in Data Science,20:00,20:45,0:45,""
Total,4:17

"DOMINGO, 5 DE OUTUBRO"
Hard Skills in Data Science,0:00,0:23,0:24,""
Total,0:24

"SEGUNDA-FEIRA, 6 DE OUTUBRO"
[No entries]

"TERÇA-FEIRA, 7 DE OUTUBRO"
Hard Skills in Data Science,0:30,1:45,1:15,""
Total,1:15

"QUARTA-FEIRA, 8 DE OUTUBRO"
[No entries]

"QUINTA-FEIRA, 9 DE OUTUBRO"
[No entries]

"SEXTA-FEIRA, 10 DE OUTUBRO"
Hard Skills in Data Science,2:11,3:18,1:06,""
Total,1:06

"SÁBADO, 11 DE OUTUBRO"
[No entries]

"DOMINGO, 12 DE OUTUBRO"
Hard Skills in Data Science,1:47,2:55,1:09,""
Hard Skills in Data Science,23:17,23:32,0:15,""
Total,1:24

"SEGUNDA-FEIRA, 13 DE OUTUBRO"
Hard Skills in Data Science,1:17,2:30,1:12,""
Total,1:12

"TERÇA-FEIRA, 14 DE OUTUBRO"
Hard Skills in Data Science,2:56,3:35,0:39,""
Total,0:39

"QUARTA-FEIRA, 15 DE OUTUBRO"
Hard Skills in Data Science,1:25,3:05,1:40,""
Total,1:40

"QUINTA-FEIRA, 16 DE OUTUBRO"
[No entries]

"SEXTA-FEIRA, 17 DE OUTUBRO"
[No entries]

"SÁBADO, 18 DE OUTUBRO"
Hard Skills in Data Science,3:00,4:00,1:00,""
Hard Skills in Data Science,15:24,16:00,0:35,""
Total,1:35

"DOMINGO, 19 DE OUTUBRO"
[No entries]

"SEGUNDA-FEIRA, 20 DE OUTUBRO"
Hard Skills in Data Science,1:20,2:00,0:40,""
Total,0:40

"TERÇA-FEIRA, 21 DE OUTUBRO"
Hard Skills in Data Science,0:56,1:50,0:55,""
Total,0:55

"QUARTA-FEIRA, 22 DE OUTUBRO"
Hard Skills in Data Science,1:00,1:59,0:59,""
Total,0:59

"QUINTA-FEIRA, 23 DE OUTUBRO"
Hard Skills in Data Science,3:18,4:05,0:47,""
Total,0:47

"SEXTA-FEIRA, 24 DE OUTUBRO"
Hard Skills in Data Science,1:00,2:37,1:37,""
Total,1:37

"SÁBADO, 25 DE OUTUBRO"
[No entries]

"DOMINGO, 26 DE OUTUBRO"
[No entries]

"SEGUNDA-FEIRA, 27 DE OUTUBRO"
[No entries]

"TERÇA-FEIRA, 28 DE OUTUBRO"
Hard Skills in Data Science,1:31,2:02,0:31,""
Total,0:31

"QUARTA-FEIRA, 29 DE OUTUBRO"
Hard Skills in Data Science,0:45,1:45,1:00,""
Total,1:00

"QUINTA-FEIRA, 30 DE OUTUBRO"
Hard Skills in Data Science,1:22,1:52,0:30,""
Total,0:30

"SEXTA-FEIRA, 31 DE OUTUBRO"
Hard Skills in Data Science,1:45,2:32,0:47,""
Total,0:47

"SÁBADO, 1 DE NOVEMBRO"
Hard Skills in Data Science,2:12,3:08,0:57,""
Hard Skills in Data Science,13:56,15:43,1:48,""
Total,2:44

"DOMINGO, 2 DE NOVEMBRO"
Hard Skills in Data Science,14:30,15:06,0:36,""
Total,0:36

"SEGUNDA-FEIRA, 3 DE NOVEMBRO"
Hard Skills in Data Science,22:08,23:00,0:51,""
Total,0:51

"TERÇA-FEIRA, 4 DE NOVEMBRO"
[No entries]

"QUARTA-FEIRA, 5 DE NOVEMBRO"
[No entries]

"QUINTA-FEIRA, 6 DE NOVEMBRO"
Hard Skills in Data Science,2:19,2:46,0:27,""
Total,0:27

"SEXTA-FEIRA, 7 DE NOVEMBRO"
Hard Skills in Data Science,1:15,3:00,1:45,""
Total,1:45

"SÁBADO, 8 DE NOVEMBRO"
Hard Skills in Data Science,2:18,3:45,1:27,""
Total,1:27

"DOMINGO, 9 DE NOVEMBRO"
Hard Skills in Data Science,23:18,2:33,0:41,""
Total,0:41

"SEGUNDA-FEIRA, 10 DE NOVEMBRO"
Hard Skills in Data Science,23:18,2:33,2:34,""
Total,2:34

"TERÇA-FEIRA, 11 DE NOVEMBRO"
Hard Skills in Data Science,20:40,20:40,0:00,""
Hard Skills in Data Science,20:40,20:40,0:00,""
Total,0:00

"QUARTA-FEIRA, 12 DE NOVEMBRO"
[No entries]

"QUINTA-FEIRA, 13 DE NOVEMBRO"
Hard Skills in Data Science,0:41,2:49,2:08,""
Hard Skills in Data Science,23:04,23:59,0:55,""
Total,3:03

