index,ST57Q01_bk,count,lower_outliers,lower_quartile,lower_whisker,median,upper_outliers,upper_quartile,upper_whisker
"(2.313, 3.69](2.313, 3.69]","(0, 2]",18.0,0.0,306.578125,231.7417,334.7562,1.0,409.417325,489.2585
"(2.313, 3.69](2.313, 3.69]","(2, 4]",4.0,0.0,416.5836,364.239,442.8338,0.0,454.30365,462.3072
"(2.313, 3.69](2.313, 3.69]","(4, 5]",2.0,0.0,325.837375,297.0167,354.65805,0.0,383.478725,412.2994
"(2.313, 3.69](2.313, 3.69]","(5, 7]",2.0,0.0,394.83175,358.9422,430.7213,0.0,466.61085,502.5004
"(2.313, 3.69](2.313, 3.69]","(7, 8]",1.0,0.0,280.659,280.659,280.659,0.0,280.659,280.659
"(2.313, 3.69](2.313, 3.69]","(8, 10]",1.0,0.0,345.155,345.155,345.155,0.0,345.155,345.155
"(2.313, 3.69](2.313, 3.69]","(10, 12]",0.0,0,0,0,0,0,0,0
"(2.313, 3.69](2.313, 3.69]","(12, 15]",0.0,0,0,0,0,0,0,0
"(2.313, 3.69](2.313, 3.69]","(15, 30]",1.0,0.0,304.7282,304.7282,304.7282,0.0,304.7282,304.7282
"(-5.95, -4.573](-5.95, -4.573]","(0, 2]",1154.0,17.0,311.485425,182.5129,353.5286,2.0,398.0449,527.6601
"(-5.95, -4.573](-5.95, -4.573]","(2, 4]",514.0,10.0,320.618475,203.7,363.6548,1.0,417.6741,560.4533
"(-5.95, -4.573](-5.95, -4.573]","(4, 5]",181.0,1.0,332.3025,203.7778,371.0157,0.0,431.2276,573.4616
"(-5.95, -4.573](-5.95, -4.573]","(5, 7]",149.0,3.0,337.5214,209.6978,378.4156,1.0,431.4613,548.6914
"(-5.95, -4.573](-5.95, -4.573]","(7, 8]",53.0,1.0,353.8012,207.8283,408.6384,1.0,455.5305,571.3585
"(-5.95, -4.573](-5.95, -4.573]","(8, 10]",83.0,0.0,317.0743,228.8596,381.1419,0.0,435.74545,544.7188
"(-5.95, -4.573](-5.95, -4.573]","(10, 12]",36.0,0.0,335.009325,199.5716,413.70155,0.0,500.689375,638.3471
"(-5.95, -4.573](-5.95, -4.573]","(12, 15]",36.0,0.0,345.9145,216.0072,405.0553,0.0,480.2812,589.9751
"(-5.95, -4.573](-5.95, -4.573]","(15, 30]",54.0,1.0,336.586675,222.3945,397.69435,0.0,443.554325,602.3602
"(-5.95, -4.573](-4.573, -3.196]","(0, 2]",12552.0,255.0,324.669,183.2918,369.4579,33.0,419.3099,560.9986
"(-5.95, -4.573](-4.573, -3.196]","(2, 4]",5909.0,101.0,343.9866,195.7548,390.5671,11.0,444.2359,594.1813
"(-5.95, -4.573](-4.573, -3.196]","(4, 5]",2163.0,30.0,359.2538,202.8431,408.3268,3.0,464.4103,618.7179
"(-5.95, -4.573](-4.573, -3.196]","(5, 7]",2273.0,31.0,367.3547,206.0368,420.0109,7.0,477.6523,640.6839
"(-5.95, -4.573](-4.573, -3.196]","(7, 8]",747.0,15.0,375.26095,224.9649,427.1771,5.0,480.6512,638.2692
"(-5.95, -4.573](-4.573, -3.196]","(8, 10]",1272.0,13.0,379.1946,215.2282,435.8233,2.0,490.93315,657.2753
"(-5.95, -4.573](-4.573, -3.196]","(10, 12]",475.0,3.0,377.98725,199.5716,429.5139,1.0,499.2678,680.0981
"(-5.95, -4.573](-4.573, -3.196]","(12, 15]",680.0,4.0,391.69655,215.6177,452.92105,3.0,515.099725,695.8327
"(-5.95, -4.573](-4.573, -3.196]","(15, 30]",891.0,3.0,388.3081,211.4114,446.4948,1.0,516.6771,705.102
"(-5.95, -4.573](-3.196, -1.819]","(0, 2]",47152.0,571.0,349.2834,176.2035,401.628,41.0,464.7219,637.8018
"(-5.95, -4.573](-3.196, -1.819]","(2, 4]",24979.0,216.0,371.7947,195.7548,426.3982,27.0,489.3363,665.1425
"(-5.95, -4.573](-3.196, -1.819]","(4, 5]",10701.0,80.0,390.0997,218.4998,444.7032,22.0,505.0709,676.8266
"(-5.95, -4.573](-3.196, -1.819]","(5, 7]",11573.0,74.0,399.9922,222.2387,457.5557,26.0,519.7149,699.1042
"(-5.95, -4.573](-3.196, -1.819]","(7, 8]",3777.0,22.0,404.4322,224.9649,461.762,7.0,524.3885,703.6221
"(-5.95, -4.573](-3.196, -1.819]","(8, 10]",7178.0,60.0,409.8847,236.1816,466.5914,9.0,526.7253,701.1295
"(-5.95, -4.573](-3.196, -1.819]","(10, 12]",2797.0,19.0,414.8699,230.807,473.2902,7.0,538.6431,718.4998
"(-5.95, -4.573](-3.196, -1.819]","(12, 15]",3945.0,19.0,423.3603,242.5689,480.9238,9.0,545.8872,726.9902
