index,continent,CNT1,PV1MATH,ST57Q01
"(2.313, 3.69](2.313, 3.69]",Africa,Tunisia,350.399866667,2.83333333333
"(2.313, 3.69](2.313, 3.69]",Asia,Indonesia,331.2899,1.0
"(2.313, 3.69](2.313, 3.69]",Asia,Jordan,374.813075,2.0
"(2.313, 3.69](2.313, 3.69]",Asia,Thailand,345.155,10.0
"(2.313, 3.69](2.313, 3.69]",Asia,Vietnam,447.2348,2.0
"(2.313, 3.69](2.313, 3.69]",Europe,Bulgaria,410.8194,1.0
"(2.313, 3.69](2.313, 3.69]",Europe,Romania,359.6043,4.25
"(2.313, 3.69](2.313, 3.69]",North America,Mexico,406.03678,3.4
"(2.313, 3.69](2.313, 3.69]",South America,Brazil,320.930066667,11.3333333333
"(2.313, 3.69](2.313, 3.69]",South America,Colombia,182.2402,2.0
"(-5.95, -4.573](-5.95, -4.573]",Africa,Tunisia,366.090029134,2.90551181102
"(-5.95, -4.573](-5.95, -4.573]",Asia,China,490.310033333,7.83333333333
"(-5.95, -4.573](-5.95, -4.573]",Asia,Hong Kong,431.811825,2.25
"(-5.95, -4.573](-5.95, -4.573]",Asia,Indonesia,352.277220325,3.9756097561
"(-5.95, -4.573](-5.95, -4.573]",Asia,Israel,270.402933333,5.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Jordan,362.422055814,3.90697674419
"(-5.95, -4.573](-5.95, -4.573]",Asia,Kazakhstan,361.4348,4.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Macau,667.713,1.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Malaysia,369.630335714,2.89285714286
"(-5.95, -4.573](-5.95, -4.573]",Asia,Qatar,300.366125,1.25
"(-5.95, -4.573](-5.95, -4.573]",Asia,Singapore,421.2183,1.5
"(-5.95, -4.573](-5.95, -4.573]",Asia,Taiwan,431.4613,1.0
"(-5.95, -4.573](-5.95, -4.573]",Asia,Thailand,404.009938636,4.35227272727
"(-5.95, -4.573](-5.95, -4.573]",Asia,UAE,312.400675,1.75
"(-5.95, -4.573](-5.95, -4.573]",Asia,Vietnam,464.711371315,4.35458167331
"(-5.95, -4.573](-5.95, -4.573]",Central America,Costa Rica,364.069212821,2.83333333333
"(-5.95, -4.573](-5.95, -4.573]",Europe,Belgium,340.79295,3.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Bulgaria,390.469691667,3.75
"(-5.95, -4.573](-5.95, -4.573]",Europe,Croatia,282.6842,3.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Denmark,377.2083,5.75
"(-5.95, -4.573](-5.95, -4.573]",Europe,Finland,286.1894,2.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Greece,334.172,1.66666666667
"(-5.95, -4.573](-5.95, -4.573]",Europe,Hungary,355.8265,2.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Ireland,420.0888,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Italy,373.3136,3.5
"(-5.95, -4.573](-5.95, -4.573]",Europe,Lithuania,398.6291,8.5
"(-5.95, -4.573](-5.95, -4.573]",Europe,Montenegro,346.0118,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Norway,487.8564,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Portugal,329.6542,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Romania,369.601347368,6.73684210526
"(-5.95, -4.573](-5.95, -4.573]",Europe,Slovakia,360.1106,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Spain,419.933,2.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Switzerland,322.7995,1.0
"(-5.95, -4.573](-5.95, -4.573]",Europe,Turkey,385.876345122,3.42682926829
